Club_ID,Club_Name,Primary language,City,Province,Country
100,LA PILERIE,French,MOMIGNIES,Hainaut,BELGIQUE
101,BAM,French,BASTOGNE,Luxembourg,BELGIQUE
102,LES DAHUTS - ANDAGE ,French,SAINT-HUBERT,Luxembourg,BELGIQUE
103,LES TUNIQUES BLEUES,French,NIVELLES,Brabant Wallon,BELGIQUE
104,EVASION,French,HOUDENG GOEGNIES,Hainaut,BELGIQUE
105,LES AUBEPINES,French,CEREXHE-HEUSEUX,Liège,BELGIQUE
107,S.J.N. CLUB,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
109,LES CARACOLES,French,NAMUR,Namur,BELGIQUE
110,LES QUILLES LIBRES,French,ARLON,Luxembourg,BELGIQUE
111,LA CLAIRIÈRE,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
112,RJCV SPORT,French,Malonne,Namur,BELGIQUE
113,CLERLANDE SPORT,French,Ottignies,Brabant Wallon,Belgique
115,LES OURSONS,French,BONNEVILLE,Namur,BELGIQUE
116,LES COPAINS,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
118,LES GRINGOS,French,SUGNY,Namur,BELGIQUE
119,METHYS,French,LIEGE,Liège,BELGIQUE
120,L'EFFORT,French,LIEGE,Liège,BELGIQUE
121,L'ENVOL,French,MOUSCRON,Hainaut,BELGIQUE
122,LA FORESTIERE,French,BRUXELLES,Brussel/Bruxelles,BELGIQUE
123,LA CLARINE,French,FAYT-LEZ-MANAGE,Hainaut,BELGIQUE
124,JENNEVAUX RENCONTRE,French,LESVE,Namur,BELGIQUE
125,LES KOLOUTES,French,GREZ-DOICEAU,Brabant Wallon,BELGIQUE
126,SPORT DE L'AMITIE,French,MONT-SAINT-GUIBERT,Brabant Wallon,BELGIQUE
127,PÉRUWELZ RAINBOW SPORTS,French,TOURNAI,Hainaut,BELGIQUE
128,LES HAUTES ARDENNES,French,VIELSALM,Luxembourg,BELGIQUE
