Club_ID,Club_Name,Primary language,Address (Street and Number),Zipcode,City,Province,Country,Participation Games 2015,Participation Games 2016,Participation Games 2017,Participation Games 2018,Participation Games 2019,Participation Games 2022,Participation Games 2023,Participation Games 2024,Participation Games 2025
100,LA PILERIE,French,rue de la Pilerie 15,6590.0,MOMIGNIES,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
101,BAM,French,Avenue Mathieu 9-11,6600.0,BASTOGNE,Luxembourg,BELGIQUE,1.0,True,True,False,False,,,,
102,LES DAHUTS - ANDAGE ,French,route d'Hatrival 11,6870.0,SAINT-HUBERT,Luxembourg,BELGIQUE,1.0,True,True,False,True,,,,
103,LES TUNIQUES BLEUES,French,Rue Buisson aux Loups 12,1400.0,NIVELLES,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
104,EVASION,French,Rue Léon Houtard 18,7110.0,HOUDENG GOEGNIES,Hainaut,BELGIQUE,1.0,True,True,True,True,,,1.0,
105,LES AUBEPINES,French,Rue de l'Institut 40,4632.0,CEREXHE-HEUSEUX,Liège,BELGIQUE,1.0,True,True,True,True,,1.0,1.0,1.0
107,S.J.N. CLUB,French,Rue d'Anethan 33,1030.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,,1.0,,1.0
109,LES CARACOLES,French,Rue D'Arquet 99,5000.0,NAMUR,Namur,BELGIQUE,,False,True,True,True,1.0,1.0,1.0,1.0
110,LES QUILLES LIBRES,French,Rue de Sesselich 236,6700.0,ARLON,Luxembourg,BELGIQUE,1.0,True,False,True,True,1.0,1.0,1.0,1.0
111,LA CLAIRIÈRE,French,Av. des Hannetons 58,1170.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
112,RJCV SPORT,French,"Rue de Reumont, 143",5020.0,Malonne,Namur,BELGIQUE,1.0,True,False,False,False,,1.0,1.0,1.0
113,CLERLANDE SPORT,French,Allée de Clerlande 7,1340.0,Ottignies,Brabant Wallon,Belgique,,False,False,False,False,1.0,1.0,1.0,1.0
115,LES OURSONS,French,Rue d'Anton 302,5300.0,BONNEVILLE,Namur,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
116,LES COPAINS,French,Rue Heideken 58,1083.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
118,LES GRINGOS,French,Boulevard dessus de laVille 193,5550.0,SUGNY,Namur,BELGIQUE,0.0,False,False,False,False,,,,
119,METHYS,French,Quai de Rome 21,4000.0,LIEGE,Liège,BELGIQUE,1.0,True,True,True,True,,1.0,1.0,1.0
120,L'EFFORT,French,Rue St. Nicolas 554,4000.0,LIEGE,Liège,BELGIQUE,1.0,True,True,True,True,,,1.0,
121,L'ENVOL,French,Rue de La Vellerie 131,7700.0,MOUSCRON,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
122,LA FORESTIERE,French,Rue de l'Ete 100,1050.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,False,False,False,False,,,,
123,LA CLARINE,French,rue Dieu d'en bas 44,7170.0,FAYT-LEZ-MANAGE,Hainaut,BELGIQUE,1.0,True,True,True,True,,,1.0,1.0
124,JENNEVAUX RENCONTRE,French,rue du Centre 53,5170.0,LESVE,Namur,BELGIQUE,1.0,True,True,False,False,,,,
125,LES KOLOUTES,French,Avenue Félix Lacourt 70,1390.0,GREZ-DOICEAU,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
126,SPORT DE L'AMITIE,French,,,MONT-SAINT-GUIBERT,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
127,PÉRUWELZ RAINBOW SPORTS,French,Carrière d'Antour 1,7520.0,TOURNAI,Hainaut,BELGIQUE,1.0,True,True,True,True,,1.0,1.0,1.0
128,LES HAUTES ARDENNES,French,Place des Chasseurs Ardennais,6690.0,VIELSALM,Luxembourg,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
129,C.S. DE HEMPTINNE,French,Drève de Hemptinne 4,1350.0,JAUCHE,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
131,LES ACACIAS,French,"Allée de la Cense du Colombier,2",1400.0,Nivelles,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
132,LA CORDEE SPORTS,French,Rue de l'Institut 30,5004.0,BOUGE,Namur,BELGIQUE,1.0,True,True,True,True,,1.0,1.0,1.0
133,LES 1001 NUITS,French,Avenue Felix Lacourt 198,1390.0,GREZ-DOICEAU,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
134,CENTRE CERFONTAINE,French,Rue de la Loquette 39,7600.0,PERUWELZ,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
